epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.27918073534965515,0.0005000000237487257,2.170375108718872,0.2890777289867401,2.074249267578125
1,0.3841652572154999,0.0005000000237487257,1.6693576574325562,0.45374757051467896,1.4125944375991821
2,0.4464801847934723,0.0005000000237487257,1.4562352895736694,0.4908052384853363,1.3159949779510498
3,0.48281025886535645,0.0005000000237487257,1.3491662740707397,0.523544192314148,1.2482208013534546
4,0.5113030672073364,0.0005000000237487257,1.286422610282898,0.5410978198051453,1.222634196281433
5,0.5290327072143555,0.0005000000237487257,1.2447705268859863,0.5378935933113098,1.268371343612671
6,0.5450555682182312,0.0005000000237487257,1.2072930335998535,0.5387294292449951,1.1926525831222534
7,0.5559580326080322,0.0005000000237487257,1.1755117177963257,0.5476455688476562,1.1949974298477173
8,0.5610784292221069,0.0005000000237487257,1.1576764583587646,0.5860964059829712,1.1069055795669556
9,0.5717371106147766,0.0005000000237487257,1.1319442987442017,0.5799665451049805,1.1165821552276611
10,0.574384331703186,0.0005000000237487257,1.119359016418457,0.5876288414001465,1.0973243713378906
11,0.5883868932723999,0.0005000000237487257,1.0913277864456177,0.5976595282554626,1.0612136125564575
12,0.5888745784759521,0.0005000000237487257,1.081394910812378,0.591668963432312,1.0668878555297852
13,0.5950050354003906,0.0005000000237487257,1.0709797143936157,0.6104764342308044,1.0456931591033936
14,0.6007175445556641,0.0005000000237487257,1.0540372133255005,0.5938979983329773,1.0800466537475586
15,0.6082065105438232,0.0005000000237487257,1.0375969409942627,0.5785734057426453,1.144433617591858
16,0.611480712890625,0.0005000000237487257,1.0320427417755127,0.5888826847076416,1.1228753328323364
17,0.6054198741912842,0.0005000000237487257,1.0513657331466675,0.5991919636726379,1.068657636642456
18,0.6188651919364929,0.0005000000237487257,1.0140588283538818,0.6008637547492981,1.1020761728286743
19,0.6360374689102173,0.0002500000118743628,0.971447229385376,0.6205071210861206,1.033826470375061
20,0.6403915286064148,0.0002500000118743628,0.956009030342102,0.6404290795326233,0.9841090440750122
21,0.6442579030990601,0.0002500000118743628,0.9417362213134766,0.638896644115448,0.9776883721351624
22,0.6562402248382568,0.0002500000118743628,0.9245040416717529,0.6415436267852783,0.9702054858207703
23,0.6545334458351135,0.0002500000118743628,0.9223326444625854,0.638896644115448,0.9744089245796204
24,0.6591660976409912,0.0002500000118743628,0.9167041778564453,0.6411256790161133,0.9728511571884155
25,0.6618481874465942,0.0002500000118743628,0.9034668803215027,0.638478696346283,0.9764807820320129
26,0.66362464427948,0.0002500000118743628,0.899318516254425,0.6444692015647888,0.970585823059082
27,0.6678045392036438,0.0002500000118743628,0.8927951455116272,0.6317915916442871,1.0047380924224854
28,0.6724023818969727,0.0001250000059371814,0.8741859197616577,0.6507383584976196,0.9655018448829651
29,0.6795778274536133,0.0001250000059371814,0.8598622679710388,0.6471161842346191,0.9711529016494751
30,0.678950846195221,0.0001250000059371814,0.8522398471832275,0.6546391844749451,0.9564374685287476
31,0.6848723292350769,0.0001250000059371814,0.8468571901321411,0.6553357243537903,0.9527785778045654
32,0.6841060519218445,0.0001250000059371814,0.8435872793197632,0.6539425849914551,0.9458832144737244
33,0.6847330331802368,0.0001250000059371814,0.8410526514053345,0.6501811146736145,0.9719010591506958
34,0.6891219019889832,0.0001250000059371814,0.8297163844108582,0.6479520797729492,0.9748408198356628
35,0.6919084787368774,0.0001250000059371814,0.8265048265457153,0.6590972542762756,0.9556319117546082
36,0.6949040293693542,0.0001250000059371814,0.8217347264289856,0.6483700275421143,0.9787059426307678
37,0.6945905685424805,0.0001250000059371814,0.8182553648948669,0.6578434109687805,0.945926308631897
38,0.6988400816917419,6.25000029685907e-05,0.8057076930999756,0.6563109755516052,0.9489904046058655
39,0.7018356323242188,6.25000029685907e-05,0.8032419085502625,0.6597937941551208,0.95265793800354
40,0.7018705010414124,6.25000029685907e-05,0.7963073253631592,0.6585400104522705,0.9541483521461487
41,0.7009996771812439,6.25000029685907e-05,0.7999593615531921,0.661186933517456,0.9481649994850159
42,0.7044132351875305,6.25000029685907e-05,0.7929407954216003,0.6561716198921204,0.9570308923721313
